timestamp,datetime,label,door_open,sigma_co2,sigma_temp,scd_co2,scd_temp,scd_hum,bme_temp,bme_hum,bme_pres,bme_gas
1766974525.0444434,2025-12-29T03:15:25.500262,Raum,0,-0.98,-0.06,2078,25.91,45.37,23.31,53.4,949.0,131551
1766974527.0445206,2025-12-29T03:15:27.500325,Raum,0,0.48,-0.06,2080,25.91,45.41,23.31,53.41,949.0,132265
1766974529.0446098,2025-12-29T03:15:29.501682,Raum,0,2.19,0.67,2088,25.88,45.43,23.32,53.42,949.0,132368
1766974531.0446684,2025-12-29T03:15:31.353351,Raum,0,0.0,0.0,,,,23.32,53.46,949.0,131653
1766974533.0447202,2025-12-29T03:15:33.500431,Raum,0,-0.98,-0.07,2085,25.85,45.42,23.32,53.47,949.0,132163
1766974535.0448437,2025-12-29T03:15:35.501993,Raum,0,0.14,-0.06,2086,25.86,45.43,23.32,53.46,949.01,131551
1766974537.0449214,2025-12-29T03:15:37.500633,Raum,0,-1.52,0.67,2081,25.81,45.43,23.33,53.44,949.0,132163
1766974539.045,2025-12-29T03:15:39.500705,Raum,0,-0.39,-0.07,2080,25.84,45.45,23.33,53.43,949.01,131856
1766974541.0451066,2025-12-29T03:15:41.501930,Raum,0,0.43,-0.07,2082,25.84,45.45,23.33,53.41,949.01,132987
1766974543.0451844,2025-12-29T03:15:43.500855,Raum,0,0.42,-0.07,2084,25.82,45.41,23.33,53.39,949.01,131551
1766974545.04527,2025-12-29T03:15:45.500983,Raum,0,-0.68,-0.07,2082,25.79,45.43,23.33,53.37,949.0,131450
1766974547.0453763,2025-12-29T03:15:47.502409,Raum,0,0.4,-0.07,2084,25.75,45.46,23.33,53.36,949.01,131349
1766974549.0454533,2025-12-29T03:15:49.501193,Raum,0,-0.42,-0.07,2083,25.72,45.48,23.33,53.33,949.01,131856
1766974551.0454953,2025-12-29T03:15:51.501361,Raum,0,-1.22,-0.07,2079,25.71,45.52,23.33,53.28,949.01,134242
1766974553.0456083,2025-12-29T03:15:53.502712,Raum,0,0.69,-0.81,2082,25.66,45.58,23.32,53.3,949.01,131958
1766974555.0456922,2025-12-29T03:15:55.501495,Raum,0,-0.93,-0.05,2079,25.65,45.62,23.32,53.28,949.01,131653
1766974557.045775,2025-12-29T03:15:57.501586,Raum,0,-1.7,-0.05,2073,25.61,45.61,23.32,53.26,949.01,133716
1766974559.0458865,2025-12-29T03:15:59.503320,Raum,0,-0.86,-0.78,2070,25.62,45.64,23.31,53.26,949.01,131653
1766974561.0459569,2025-12-29T03:16:01.501752,Raum,0,-1.12,-0.04,2066,25.6,45.73,23.31,53.25,949.0,134772
1766974563.0460334,2025-12-29T03:16:03.501863,Raum,0,-0.33,-0.04,2065,25.57,45.72,23.31,53.26,949.0,133507
1766974565.046148,2025-12-29T03:16:05.503446,Raum,0,-0.84,-0.76,2062,25.55,45.81,23.3,53.25,949.0,133507
1766974567.0462275,2025-12-29T03:16:07.502028,Raum,0,-0.58,-0.02,2060,25.57,45.81,23.3,53.23,949.01,131958
1766974569.0463054,2025-12-29T03:16:09.502115,Raum,0,-0.07,-0.02,2060,25.57,45.88,23.3,53.25,949.0,132883
1766974571.046408,2025-12-29T03:16:11.356563,Raum,0,0.0,0.0,,,,23.3,53.26,949.0,132265
1766974573.046451,2025-12-29T03:16:13.592958,Raum,0,-0.32,-0.02,2059,25.57,45.83,23.3,53.28,949.0,132060
1766974575.0465345,2025-12-29T03:16:15.355235,Raum,0,0.0,0.0,,,,23.3,53.3,949.01,132780
1766974577.0466416,2025-12-29T03:16:17.503531,Raum,0,-2.11,-0.02,2051,25.61,45.81,23.3,53.31,949.0,134031
1766974579.0466878,2025-12-29T03:16:19.502382,Raum,0,-0.26,-0.02,2050,25.61,45.71,23.3,53.34,949.0,132163
1766974581.0467439,2025-12-29T03:16:21.502470,Raum,0,-0.26,-0.02,2049,25.6,45.7,23.3,53.33,949.0,133926
1766974583.0468097,2025-12-29T03:16:23.503729,Raum,0,-0.01,-0.02,2049,25.62,45.65,23.3,53.31,949.0,132573
1766974585.0468845,2025-12-29T03:16:25.502603,Raum,0,0.48,0.69,2051,25.61,45.68,23.31,53.3,949.0,132265
1766974587.046959,2025-12-29T03:16:27.502671,Raum,0,-0.27,-0.04,2050,25.61,45.62,23.31,53.22,949.0,132470
1766974589.0470622,2025-12-29T03:16:29.504481,Raum,0,0.47,-0.04,2052,25.62,45.66,23.31,53.25,949.01,132265
1766974591.0471313,2025-12-29T03:16:31.502883,Raum,0,0.71,-0.04,2055,25.64,45.64,23.31,53.22,949.01,132060
1766974593.0471969,2025-12-29T03:16:33.503023,Raum,0,0.2,-0.04,2056,25.65,45.68,23.31,53.2,949.01,134031
1766974595.0473003,2025-12-29T03:16:35.504508,Raum,0,0.69,-0.04,2059,25.62,45.66,23.31,53.18,949.0,133926
1766974597.0473762,2025-12-29T03:16:37.503200,Raum,0,0.44,-0.73,2061,25.62,45.71,23.3,53.17,949.0,133194
1766974599.0474253,2025-12-29T03:16:39.503229,Raum,0,-0.55,-0.01,2059,25.57,45.69,23.3,53.17,949.0,132780
1766974601.0474944,2025-12-29T03:16:41.504753,Raum,0,0.2,-0.01,2060,25.57,45.67,23.3,53.18,949.0,133716
1766974603.0475419,2025-12-29T03:16:43.503339,Raum,0,-0.05,-0.01,2060,25.58,45.72,23.3,53.16,949.01,134031
1766974605.0476243,2025-12-29T03:16:45.503441,Raum,0,-0.3,-0.01,2059,25.55,45.68,23.3,53.18,949.0,132883
1766974607.047737,2025-12-29T03:16:47.504977,Raum,0,-0.54,-0.01,2057,25.57,45.65,23.3,53.18,949.0,133298
1766974609.0477874,2025-12-29T03:16:49.503645,Raum,0,-0.54,-0.01,2055,25.58,45.61,23.3,53.18,949.0,132883
1766974611.0478613,2025-12-29T03:16:51.503627,Raum,0,-0.54,0.0,2053,25.61,45.55,23.3,53.22,949.0,132163
1766974613.0479639,2025-12-29T03:16:53.358201,Raum,0,0.0,0.0,,,,23.3,53.2,949.0,132265
1766974615.0480382,2025-12-29T03:16:55.503769,Raum,0,-0.53,0.0,2051,25.62,45.52,23.3,53.19,949.0,132573
1766974617.0481114,2025-12-29T03:16:57.503825,Raum,0,-0.52,0.73,2049,25.62,45.46,23.31,53.19,949.01,134347
1766974619.0482159,2025-12-29T03:16:59.505553,Raum,0,0.22,0.0,2050,25.62,45.38,23.31,53.19,949.01,134772
1766974621.0482864,2025-12-29T03:17:01.503964,Raum,0,0.46,0.01,2052,25.61,45.35,23.31,53.18,949.0,133298
1766974623.0483708,2025-12-29T03:17:03.504085,Raum,0,-0.27,0.01,2051,25.61,45.28,23.31,53.15,949.01,134772
1766974625.0484836,2025-12-29T03:17:05.505689,Raum,0,0.45,0.01,2053,25.61,45.17,23.31,53.12,949.01,133090
1766974627.048555,2025-12-29T03:17:07.504233,Raum,0,-0.54,-0.71,2051,25.62,45.2,23.3,53.07,949.01,132780
1766974629.0486298,2025-12-29T03:17:09.504326,Raum,0,-0.05,0.73,2051,25.6,45.18,23.31,53.0,949.01,135413
1766974631.0487223,2025-12-29T03:17:11.505604,Raum,0,-0.29,0.01,2050,25.6,45.27,23.31,52.97,949.0,133507
1766974633.0487645,2025-12-29T03:17:13.504528,Raum,0,-0.77,0.01,2047,25.6,45.3,23.31,52.93,949.0,133090
1766974635.048821,2025-12-29T03:17:15.504638,Raum,0,-0.99,0.01,2043,25.57,45.31,23.31,52.89,949.0,133821
1766974637.0489213,2025-12-29T03:17:17.505891,Raum,0,-0.46,0.01,2041,25.57,45.33,23.31,52.9,948.99,133507
1766974639.0489674,2025-12-29T03:17:19.504779,Raum,0,-2.07,0.01,2033,25.6,45.36,23.31,52.9,949.0,133926
1766974641.0490112,2025-12-29T03:17:21.504822,Raum,0,-2.41,0.01,2024,25.6,45.36,23.31,52.91,949.0,133507
1766974643.049113,2025-12-29T03:17:23.506205,Raum,0,1.33,0.0,2027,25.6,45.38,23.31,52.92,949.01,134347
1766974645.0491908,2025-12-29T03:17:25.505005,Raum,0,0.98,0.0,2029,25.55,45.44,23.31,52.93,949.0,134031
1766974647.0492656,2025-12-29T03:17:27.505054,Raum,0,-0.66,0.0,2026,25.58,45.53,23.31,52.94,949.0,134665
1766974649.0493798,2025-12-29T03:17:29.506672,Raum,0,3.21,0.0,2035,25.54,45.47,23.31,52.93,949.01,135737
1766974651.049427,2025-12-29T03:17:31.505228,Raum,0,-2.48,0.0,2026,25.58,45.41,23.31,52.9,949.01,134136
1766974653.049503,2025-12-29T03:17:33.358194,Raum,0,0.0,0.0,,,,23.31,52.87,949.0,133090
1766974655.0496066,2025-12-29T03:17:35.506574,Raum,0,0.84,0.0,2028,25.55,45.34,23.31,52.85,949.0,134347
1766974657.049688,2025-12-29T03:17:37.505378,Raum,0,-0.62,0.0,2025,25.55,45.34,23.31,52.83,949.0,133611
1766974659.0497684,2025-12-29T03:17:39.505461,Raum,0,1.99,0.0,2031,25.51,45.35,23.31,52.83,949.0,135521
